Threshold =  -1  | F-measure =  0.602409638554217  | clusters =  1  | cost =  0
Threshold =  0  | F-measure =  0.605935514116054  | clusters =  2  | cost =  0
Threshold =  1  | F-measure =  0.842398465670163  | clusters =  10  | cost =  4514.24365234375
Threshold =  2  | F-measure =  0.912733387995757  | clusters =  16  | cost =  2048.22802734375
Threshold =  3  | F-measure =  0.912733387995757  | clusters =  16  | cost =  1078.91906738281
Threshold =  4  | F-measure =  0.910270333808565  | clusters =  15  | cost =  493.095550537109
Threshold =  5  | F-measure =  0.910270333808565  | clusters =  15  | cost =  193.734619140625
Threshold =  6  | F-measure =  0.912733387995757  | clusters =  16  | cost =  65.667839050293
Threshold =  7  | F-measure =  0.912733387995757  | clusters =  16  | cost =  30.3749313354492
Threshold =  8  | F-measure =  0.912733387995757  | clusters =  16  | cost =  45.4786491394043
Threshold =  9  | F-measure =  0.912733387995757  | clusters =  16  | cost =  81.9768524169922
Threshold =  10  | F-measure =  0.912733387995757  | clusters =  16  | cost =  133.795318603516
Threshold =  11  | F-measure =  0.918188762761476  | clusters =  18  | cost =  192.841003417969
Threshold =  12  | F-measure =  0.918188762761476  | clusters =  18  | cost =  258.222808837891
Threshold =  13  | F-measure =  0.918188762761476  | clusters =  18  | cost =  359.119018554688
Threshold =  14  | F-measure =  0.913935889198258  | clusters =  18  | cost =  467.624176025391
Threshold =  15  | F-measure =  0.913935889198258  | clusters =  18  | cost =  594.877502441406
Threshold =  16  | F-measure =  0.913935889198258  | clusters =  18  | cost =  748.534057617188
Threshold =  17  | F-measure =  0.949648157585137  | clusters =  19  | cost =  672.853088378906
Threshold =  18  | F-measure =  0.954676893217321  | clusters =  20  | cost =  602.494079589844
Threshold =  19  | F-measure =  0.954676893217321  | clusters =  20  | cost =  539.652465820312
Threshold =  20  | F-measure =  0.954676893217321  | clusters =  20  | cost =  485.032653808594
Threshold =  21  | F-measure =  0.954676893217321  | clusters =  20  | cost =  443.523468017578
Threshold =  22  | F-measure =  0.954676893217321  | clusters =  20  | cost =  418.072357177734
Threshold =  23  | F-measure =  0.966365493361694  | clusters =  21  | cost =  392.734985351562
Threshold =  24  | F-measure =  0.966365493361694  | clusters =  21  | cost =  338.152069091797
Threshold =  25  | F-measure =  0.964571285785679  | clusters =  22  | cost =  292.095611572266
Threshold =  26  | F-measure =  0.964571285785679  | clusters =  22  | cost =  262.11474609375
Threshold =  27  | F-measure =  0.964571285785679  | clusters =  22  | cost =  241.290832519531
Threshold =  28  | F-measure =  0.97349985721425  | clusters =  22  | cost =  213.273147583008
Threshold =  29  | F-measure =  0.97349985721425  | clusters =  22  | cost =  181.401519775391
Threshold =  30  | F-measure =  0.976147640465482  | clusters =  23  | cost =  145.825973510742
Threshold =  31  | F-measure =  0.976147640465482  | clusters =  23  | cost =  114.92635345459
Threshold =  32  | F-measure =  0.976147640465482  | clusters =  23  | cost =  87.4034652709961
Threshold =  33  | F-measure =  0.976147640465482  | clusters =  23  | cost =  62.737922668457
Threshold =  34  | F-measure =  0.976147640465482  | clusters =  23  | cost =  46.1973114013672
Threshold =  35  | F-measure =  0.976147640465482  | clusters =  23  | cost =  30.1973075866699
Threshold =  36  | F-measure =  0.976147640465482  | clusters =  23  | cost =  18.9577293395996
Threshold =  37  | F-measure =  0.976147640465482  | clusters =  23  | cost =  17.5228805541992
Threshold =  38  | F-measure =  0.980889019775826  | clusters =  24  | cost =  20.376859664917
Threshold =  39  | F-measure =  0.980889019775826  | clusters =  24  | cost =  13.5071887969971
Threshold =  40  | F-measure =  0.980889019775826  | clusters =  24  | cost =  11.936619758606
Threshold =  41  | F-measure =  0.965096495869712  | clusters =  26  | cost =  7.10925006866455
Threshold =  42  | F-measure =  0.965096495869712  | clusters =  26  | cost =  7.44370031356812
Threshold =  43  | F-measure =  0.965096495869712  | clusters =  26  | cost =  11.7481899261475
Threshold =  44  | F-measure =  0.965096495869712  | clusters =  26  | cost =  17.7481899261475
Threshold =  45  | F-measure =  0.965096495869712  | clusters =  26  | cost =  24.7481880187988
Threshold =  46  | F-measure =  0.965096495869712  | clusters =  26  | cost =  36.3502502441406
Threshold =  47  | F-measure =  0.975278904665314  | clusters =  28  | cost =  49.5371513366699
Threshold =  48  | F-measure =  0.975278904665314  | clusters =  28  | cost =  34.5371475219727
Threshold =  49  | F-measure =  0.975278904665314  | clusters =  28  | cost =  19.5371494293213
Threshold =  50  | F-measure =  0.975278904665314  | clusters =  28  | cost =  10.3187599182129
Threshold =  51  | F-measure =  0.975278904665314  | clusters =  28  | cost =  6.39793968200684
Threshold =  52  | F-measure =  0.975278904665314  | clusters =  28  | cost =  3.39794015884399
Threshold =  53  | F-measure =  0.975278904665314  | clusters =  28  | cost =  0.698970019817352
Threshold =  54  | F-measure =  0.975278904665314  | clusters =  28  | cost =  4.06145000457764
Threshold =  55  | F-measure =  0.975278904665314  | clusters =  28  | cost =  12.0614500045776
Threshold =  56  | F-measure =  0.975278904665314  | clusters =  28  | cost =  20.061450958252
Threshold =  57  | F-measure =  0.951332544512058  | clusters =  29  | cost =  23.6955089569092
Threshold =  58  | F-measure =  0.951332544512058  | clusters =  29  | cost =  7.6955099105835
Threshold =  59  | F-measure =  0.951332544512058  | clusters =  29  | cost =  0
Threshold =  60  | F-measure =  0.951332544512058  | clusters =  29  | cost =  0.954240024089813
Threshold =  61  | F-measure =  0.951332544512058  | clusters =  29  | cost =  1.95423996448517
Threshold =  62  | F-measure =  0.951332544512058  | clusters =  29  | cost =  2.95424008369446
Threshold =  63  | F-measure =  0.945298061753437  | clusters =  30  | cost =  3.22184991836548
Threshold =  64  | F-measure =  0.945298061753437  | clusters =  30  | cost =  2.22184991836548
Threshold =  65  | F-measure =  0.945298061753437  | clusters =  30  | cost =  1.22185003757477
Threshold =  66  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0.221849992871284
Threshold =  67  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  68  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  69  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  70  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  71  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  72  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  73  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  74  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  75  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  76  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  77  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  78  | F-measure =  0.945298061753437  | clusters =  30  | cost =  0
Threshold =  79  | F-measure =  0.945298061753437  | clusters =  30  | cost =  1.20412003993988
Threshold =  80  | F-measure =  0.945298061753437  | clusters =  30  | cost =  3.50515007972717
