Threshold =  0  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  0
Threshold =  1  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  17793.9140625
Threshold =  2  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  36737.84765625
Threshold =  3  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  56325.05078125
Threshold =  4  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  76320.8828125
Threshold =  5  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  96579.875
Threshold =  6  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  117010.8515625
Threshold =  7  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  137536.734375
Threshold =  8  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  158108.34375
Threshold =  9  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  178704.90625
Threshold =  10  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  199320.09375
Threshold =  11  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  219964.09375
Threshold =  12  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  240634.890625
Threshold =  13  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  261348.890625
Threshold =  14  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  282092.09375
Threshold =  15  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  302862.84375
Threshold =  16  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  323656.0625
Threshold =  17  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  344481.65625
Threshold =  18  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  365337.0625
Threshold =  19  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  386207.1875
Threshold =  20  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  407083.25
Threshold =  21  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  427970.625
Threshold =  22  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  448876.3125
Threshold =  23  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  469794.21875
Threshold =  24  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  490722.3125
Threshold =  25  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  511659.875
Threshold =  26  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  532612.5625
Threshold =  27  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  553571.8125
Threshold =  28  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  574533.1875
Threshold =  29  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  595507.625
Threshold =  30  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  616486
Threshold =  31  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  637471.3125
Threshold =  32  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  658460.4375
Threshold =  33  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  679451.0625
Threshold =  34  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  700447.375
Threshold =  35  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  721444.625
Threshold =  36  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  742445.25
Threshold =  37  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  763455.875
Threshold =  38  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  784472.625
Threshold =  39  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  805495.3125
Threshold =  40  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  826524
Threshold =  41  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  847558.25
Threshold =  42  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  868607.1875
Threshold =  43  | F-measure =  3.73190028362442e-05  | clusters =  3  | cost =  889575.4375
Threshold =  44  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  910712.625
Threshold =  45  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  931765.875
Threshold =  46  | F-measure =  3.71581450653983e-05  | clusters =  2  | cost =  950937.6875
Threshold =  47  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  973881.0625
Threshold =  48  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  994940.125
Threshold =  49  | F-measure =  3.71581450653983e-05  | clusters =  2  | cost =  1013977.9375
Threshold =  50  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  1037064.625
Threshold =  51  | F-measure =  3.71581450653983e-05  | clusters =  2  | cost =  1058043.5
Threshold =  52  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  1079207.625
Threshold =  53  | F-measure =  3.69986680479503e-05  | clusters =  1  | cost =  1100280
Threshold =  54  | F-measure =  0.00219265367316342  | clusters =  2  | cost =  1115842
Threshold =  55  | F-measure =  3.88319353836595e-05  | clusters =  5  | cost =  1135149.25
Threshold =  56  | F-measure =  0.00230269909688013  | clusters =  10  | cost =  1149275.25
Threshold =  57  | F-measure =  4.35388366422849e-05  | clusters =  10  | cost =  1163734.125
Threshold =  58  | F-measure =  0.0063078908454218  | clusters =  11  | cost =  1164246.875
Threshold =  59  | F-measure =  0.0837585522714833  | clusters =  146  | cost =  1173422.125
Threshold =  60  | F-measure =  0.107026063071504  | clusters =  144  | cost =  1163857.375
Threshold =  61  | F-measure =  0.109024356869184  | clusters =  169  | cost =  1166591.25
Threshold =  62  | F-measure =  0.0744952827356478  | clusters =  140  | cost =  1152019.375
Threshold =  63  | F-measure =  0.071036877394636  | clusters =  136  | cost =  1151986.25
Threshold =  64  | F-measure =  0.0819683908045977  | clusters =  158  | cost =  1145468.5
Threshold =  65  | F-measure =  0.100502873563218  | clusters =  147  | cost =  1139519.5
Threshold =  66  | F-measure =  0.0937095342522974  | clusters =  154  | cost =  1138445
Threshold =  67  | F-measure =  0.0888499640892499  | clusters =  156  | cost =  1127422.875
Threshold =  68  | F-measure =  0.109072249589491  | clusters =  172  | cost =  1128537
Threshold =  69  | F-measure =  0.0883415435139573  | clusters =  158  | cost =  1120879.75
Threshold =  70  | F-measure =  0.108908236970667  | clusters =  160  | cost =  1117434
Threshold =  71  | F-measure =  0.127881027018958  | clusters =  156  | cost =  1113147.75
Threshold =  72  | F-measure =  0.130606699412317  | clusters =  168  | cost =  1105355
Threshold =  73  | F-measure =  0.150938133874239  | clusters =  162  | cost =  1098102.75
Threshold =  74  | F-measure =  0.144728471325834  | clusters =  176  | cost =  1097311.5
Threshold =  75  | F-measure =  0.111165693300448  | clusters =  156  | cost =  1085852.25
Threshold =  76  | F-measure =  0.10445555402452  | clusters =  165  | cost =  1086693.75
Threshold =  77  | F-measure =  0.126153343782654  | clusters =  165  | cost =  1080244
Threshold =  78  | F-measure =  0.146272640195054  | clusters =  164  | cost =  1073427.875
Threshold =  79  | F-measure =  0.194383800102013  | clusters =  158  | cost =  1067470.125
Threshold =  80  | F-measure =  0.158012298440797  | clusters =  149  | cost =  1060440.125
Threshold =  81  | F-measure =  0.146857775844845  | clusters =  177  | cost =  1058288.375
Threshold =  82  | F-measure =  0.108594693682291  | clusters =  156  | cost =  1052018
Threshold =  83  | F-measure =  0.136110003124522  | clusters =  168  | cost =  1047338.6875
Threshold =  84  | F-measure =  0.188288813349809  | clusters =  170  | cost =  1041754.3125
Threshold =  85  | F-measure =  0.153366174055829  | clusters =  168  | cost =  1034190.25
Threshold =  86  | F-measure =  0.145098148977459  | clusters =  173  | cost =  1031587.375
Threshold =  87  | F-measure =  0.147947454844007  | clusters =  168  | cost =  1024638.0625
Threshold =  88  | F-measure =  0.130499243998416  | clusters =  168  | cost =  1019172.5
Threshold =  89  | F-measure =  0.141974548440066  | clusters =  163  | cost =  1010273.625
Threshold =  90  | F-measure =  0.134706385568455  | clusters =  172  | cost =  1005859.625
Threshold =  91  | F-measure =  0.0958473279593969  | clusters =  179  | cost =  1002848.625
Threshold =  92  | F-measure =  0.125951451166968  | clusters =  163  | cost =  995960.6875
Threshold =  93  | F-measure =  0.148953244865849  | clusters =  196  | cost =  991119.6875
Threshold =  94  | F-measure =  0.145672333012433  | clusters =  185  | cost =  986340.9375
Threshold =  95  | F-measure =  0.110955144534121  | clusters =  135  | cost =  979997.5625
Threshold =  96  | F-measure =  0.174445714063508  | clusters =  229  | cost =  976708.3125
Threshold =  97  | F-measure =  0.196351064084473  | clusters =  174  | cost =  970574.625
Threshold =  98  | F-measure =  0.182160608270981  | clusters =  230  | cost =  965252.375
Threshold =  99  | F-measure =  0.17852763499173  | clusters =  164  | cost =  956546.1875
Threshold =  100  | F-measure =  0.178383614192263  | clusters =  222  | cost =  953834.125
Threshold =  101  | F-measure =  0.18923109936041  | clusters =  188  | cost =  948362.5625
Threshold =  102  | F-measure =  0.173008932454312  | clusters =  226  | cost =  942648.4375
Threshold =  103  | F-measure =  0.181642118250756  | clusters =  200  | cost =  936103.625
Threshold =  104  | F-measure =  0.151359658484405  | clusters =  179  | cost =  930860.875
Threshold =  105  | F-measure =  0.153505187341394  | clusters =  209  | cost =  925052.6875
Threshold =  106  | F-measure =  0.165413728991315  | clusters =  162  | cost =  918477.625
