DATE,CPIAUCNS
1970-01-01,37.8
1970-02-01,38.0
1970-03-01,38.2
1970-04-01,38.5
1970-05-01,38.6
1970-06-01,38.8
1970-07-01,39.0
1970-08-01,39.0
1970-09-01,39.2
1970-10-01,39.4
1970-11-01,39.6
1970-12-01,39.8
1971-01-01,39.8
1971-02-01,39.9
1971-03-01,40.0
1971-04-01,40.1
1971-05-01,40.3
1971-06-01,40.6
1971-07-01,40.7
1971-08-01,40.8
1971-09-01,40.8
1971-10-01,40.9
1971-11-01,40.9
1971-12-01,41.1
1972-01-01,41.1
1972-02-01,41.3
1972-03-01,41.4
1972-04-01,41.5
1972-05-01,41.6
1972-06-01,41.7
1972-07-01,41.9
1972-08-01,42.0
1972-09-01,42.1
1972-10-01,42.3
1972-11-01,42.4
1972-12-01,42.5
1973-01-01,42.6
1973-02-01,42.9
1973-03-01,43.3
1973-04-01,43.6
1973-05-01,43.9
1973-06-01,44.2
1973-07-01,44.3
1973-08-01,45.1
1973-09-01,45.2
1973-10-01,45.6
1973-11-01,45.9
1973-12-01,46.2
1974-01-01,46.6
1974-02-01,47.2
1974-03-01,47.8
1974-04-01,48.0
1974-05-01,48.6
1974-06-01,49.0
1974-07-01,49.4
1974-08-01,50.0
1974-09-01,50.6
1974-10-01,51.1
1974-11-01,51.5
1974-12-01,51.9
1975-01-01,52.1
1975-02-01,52.5
1975-03-01,52.7
1975-04-01,52.9
1975-05-01,53.2
1975-06-01,53.6
1975-07-01,54.2
1975-08-01,54.3
1975-09-01,54.6
1975-10-01,54.9
1975-11-01,55.3
1975-12-01,55.5
1976-01-01,55.6
1976-02-01,55.8
1976-03-01,55.9
1976-04-01,56.1
1976-05-01,56.5
1976-06-01,56.8
1976-07-01,57.1
1976-08-01,57.4
1976-09-01,57.6
1976-10-01,57.9
1976-11-01,58.0
1976-12-01,58.2
1977-01-01,58.5
1977-02-01,59.1
1977-03-01,59.5
1977-04-01,60.0
1977-05-01,60.3
1977-06-01,60.7
1977-07-01,61.0
1977-08-01,61.2
1977-09-01,61.4
1977-10-01,61.6
1977-11-01,61.9
1977-12-01,62.1
1978-01-01,62.5
1978-02-01,62.9
1978-03-01,63.4
1978-04-01,63.9
1978-05-01,64.5
1978-06-01,65.2
1978-07-01,65.7
1978-08-01,66.0
1978-09-01,66.5
1978-10-01,67.1
1978-11-01,67.4
1978-12-01,67.7
1979-01-01,68.3
1979-02-01,69.1
1979-03-01,69.8
1979-04-01,70.6
1979-05-01,71.5
1979-06-01,72.3
1979-07-01,73.1
1979-08-01,73.8
1979-09-01,74.6
1979-10-01,75.2
1979-11-01,75.9
1979-12-01,76.7
