Date,Open,High,Low,Close,Volume,Adj Close
1979-12-31,64.25,64.625,64.00,64.375,1234400,6.550999
1979-12-28,64.625,64.625,64.00,64.25,1116800,6.538279
1979-12-27,64.875,65.00,64.25,64.75,1015200,6.58916
1979-12-26,64.875,65.125,64.375,64.875,653200,6.601881
1979-12-24,64.00,64.875,64.00,64.875,705200,6.601881
1979-12-21,65.125,65.25,64.00,64.00,1386400,6.512838
1979-12-20,64.375,65.75,64.125,65.125,1478000,6.627321
1979-12-19,64.00,64.625,63.25,64.375,1996000,6.550999
1979-12-18,65.25,65.25,63.875,64.00,2102000,6.512838
1979-12-17,65.875,65.875,65.375,65.375,1114800,6.652762
1979-12-14,65.00,66.125,64.875,66.00,1649600,6.716364
1979-12-13,65.25,65.25,64.625,65.00,1318800,6.614601
1979-12-12,65.625,65.75,65.125,65.25,1182000,6.640042
1979-12-11,66.375,66.75,65.625,65.625,1575600,6.678203
1979-12-10,66.625,66.625,66.125,66.375,1028800,6.754525
1979-12-07,67.25,67.625,66.375,66.625,2329600,6.779966
1979-12-06,65.75,67.25,65.375,67.25,1134000,6.843568
1979-12-05,65.50,66.375,65.50,65.75,1510400,6.690923
1979-12-04,65.00,65.375,64.875,65.375,1167200,6.652762
1979-12-03,65.125,65.125,64.50,65.00,835600,6.614601
1979-11-30,65.50,65.50,64.875,65.25,1135600,6.640042
1979-11-29,65.75,66.25,65.375,65.75,1306800,6.690923
1979-11-28,64.50,67.00,64.125,65.75,2090000,6.690923
1979-11-27,64.625,65.25,64.25,64.50,2714800,6.563719
1979-11-26,62.375,64.625,62.375,64.625,2154800,6.57644
1979-11-23,61.75,62.25,61.75,62.00,1174400,6.309312
1979-11-21,61.625,61.875,61.25,61.625,1567200,6.271151
1979-11-20,61.875,62.50,61.50,61.625,1648000,6.271151
1979-11-19,62.00,62.375,61.75,61.875,1312800,6.296591
1979-11-16,62.375,62.375,61.75,62.00,1421600,6.309312
1979-11-15,62.50,63.25,62.00,62.50,2076000,6.360193
1979-11-14,62.25,63.00,62.00,62.50,1750000,6.360193
1979-11-13,62.75,62.75,62.00,62.25,1369200,6.334752
1979-11-12,61.75,62.875,61.625,62.875,1743600,6.398354
1979-11-09,61.875,62.50,61.625,61.75,2100400,6.283871
1979-11-08,61.50,62.125,61.125,61.875,2174800,6.296591
1979-11-07,62.00,62.00,61.25,61.50,1569200,6.25843
1979-11-06,63.125,63.125,62.50,62.75,1198400,6.298118
1979-11-05,63.25,63.25,62.75,63.125,1002800,6.335756
1979-11-02,63.50,63.75,63.25,63.25,1046800,6.348302
1979-11-01,62.375,63.625,62.25,63.50,1332000,6.373394
1979-10-31,64.00,64.125,62.375,62.375,1664400,6.26048
1979-10-30,62.50,64.00,62.50,64.00,1417600,6.423578
1979-10-29,62.25,62.875,62.25,62.50,1023600,6.273026
1979-10-26,62.125,62.375,61.75,62.25,1200400,6.247934
1979-10-25,62.50,62.875,61.75,62.125,1348400,6.235387
1979-10-24,62.75,63.125,62.375,62.50,2394000,6.273026
1979-10-23,62.50,63.375,62.00,62.75,2263600,6.298118
1979-10-22,61.875,64.375,61.125,62.50,2487200,6.273026
1979-10-19,62.875,63.00,61.75,61.875,2287600,6.210295
1979-10-18,63.25,63.75,62.875,62.875,2502400,6.310664
1979-10-17,64.125,64.50,63.125,63.25,2012400,6.348302
1979-10-16,65.375,65.75,64.00,64.125,3821600,6.436124
1979-10-15,65.75,65.875,65.00,65.375,2604400,6.561585
1979-10-12,66.50,67.125,65.625,65.75,1872400,6.599223
1979-10-11,67.625,67.625,66.25,66.50,2263600,6.674499
1979-10-10,66.00,67.75,65.00,67.75,4156000,6.79996
1979-10-09,67.375,67.375,66.00,66.00,2308400,6.624315
1979-10-08,68.875,69.00,67.00,67.375,1693200,6.762322
1979-10-05,68.625,69.50,68.50,68.875,1468000,6.912874
1979-10-04,68.25,68.875,68.25,68.625,1079200,6.887782
1979-10-03,68.25,69.00,68.125,68.25,1420000,6.850144
1979-10-02,67.625,68.75,67.25,68.25,1590800,6.850144
1979-10-01,67.625,67.625,67.00,67.625,1048000,6.787414
1979-09-28,68.25,68.50,67.50,67.75,1280000,6.79996
1979-09-27,68.125,68.75,67.625,68.25,1458000,6.850144
1979-09-26,68.625,69.50,68.00,68.125,1980400,6.837598
1979-09-25,67.875,69.25,66.50,68.625,2541600,6.887782
1979-09-24,69.875,69.875,67.75,67.875,2102800,6.812506
1979-09-21,71.00,71.00,69.375,70.00,2504400,7.025789
1979-09-20,67.75,71.375,67.625,71.25,1759600,7.151249
1979-09-19,67.875,68.625,67.75,67.75,1586000,6.79996
1979-09-18,68.50,68.50,67.75,67.875,1630800,6.812506
1979-09-17,68.375,69.25,68.375,68.50,2155600,6.875236
1979-09-14,66.75,68.375,66.50,67.875,2008400,6.812506
1979-09-13,66.25,66.875,66.125,66.75,1597200,6.699591
1979-09-12,66.50,66.625,65.75,66.25,2611200,6.649407
1979-09-11,67.50,67.75,66.125,66.50,1866000,6.674499
1979-09-10,67.75,67.875,67.375,67.50,1223200,6.774868
1979-09-07,67.625,68.00,67.375,67.75,1626400,6.79996
1979-09-06,68.25,68.25,67.50,67.625,1264400,6.787414
1979-09-05,68.50,68.50,67.25,68.25,2772800,6.850144
1979-09-04,69.875,69.875,68.50,68.625,1526000,6.887782
1979-08-31,69.75,70.00,69.75,70.00,1073200,7.025789
1979-08-30,69.625,70.00,69.50,69.50,821200,6.975605
1979-08-29,70.00,70.25,69.625,69.625,1172800,6.988151
1979-08-28,70.00,70.125,69.625,70.00,1573600,7.025789
1979-08-27,69.625,70.625,69.50,70.00,1355600,7.025789
1979-08-24,69.625,70.50,69.125,69.625,1348000,6.988151
1979-08-23,70.50,70.75,69.50,69.625,1567600,6.988151
1979-08-22,70.875,71.125,70.375,70.50,2126800,7.075973
1979-08-21,71.625,71.625,70.50,70.875,1046000,7.113611
1979-08-20,71.25,71.875,70.875,71.625,1401200,7.188887
1979-08-17,71.625,71.875,71.00,71.25,1130400,7.151249
