
currentTclustCluster = c1 | nextThreshold = -1

currentTclustCluster = c1 | nextThreshold = 0

currentTclustCluster = c14 | nextThreshold = 1

currentTclustCluster = c34 | nextThreshold = 2

currentTclustCluster = c35 | nextThreshold = 2

currentTclustCluster = c37 | nextThreshold = 2

currentTclustCluster = c39 | nextThreshold = 2

currentTclustCluster = c40 | nextThreshold = 2

currentTclustCluster = c41 | nextThreshold = 2

currentTclustCluster = c43 | nextThreshold = 2

currentTclustCluster = c44 | nextThreshold = 2

currentTclustCluster = c45 | nextThreshold = 2

currentTclustCluster = c46 | nextThreshold = 2

currentTclustCluster = c47 | nextThreshold = 2

currentTclustCluster = c51 | nextThreshold = 2

currentTclustCluster = c52 | nextThreshold = 2

currentTclustCluster = c54 | nextThreshold = 2

currentTclustCluster = c55 | nextThreshold = 2

currentTclustCluster = c56 | nextThreshold = 2

currentTclustCluster = c57 | nextThreshold = 2

currentTclustCluster = c58 | nextThreshold = 2

currentTclustCluster = c62 | nextThreshold = 2

currentTclustCluster = c66 | nextThreshold = 2

currentTclustCluster = c68 | nextThreshold = 2

currentTclustCluster = c76 | nextThreshold = 2

currentTclustCluster = c79 | nextThreshold = 2

currentTclustCluster = c86 | nextThreshold = 2

currentTclustCluster = c94 | nextThreshold = 2

currentTclustCluster = c97 | nextThreshold = 2

currentTclustCluster = c102 | nextThreshold = 2

currentTclustCluster = c103 | nextThreshold = 2

currentTclustCluster = c104 | nextThreshold = 2

currentTclustCluster = c105 | nextThreshold = 2

currentTclustCluster = c106 | nextThreshold = 2

currentTclustCluster = c34 | nextThreshold = 3

currentTclustCluster = c35 | nextThreshold = 3

currentTclustCluster = c37 | nextThreshold = 3

currentTclustCluster = c108 | nextThreshold = 3

currentTclustCluster = c119 | nextThreshold = 3

currentTclustCluster = c120 | nextThreshold = 3

currentTclustCluster = c121 | nextThreshold = 3

currentTclustCluster = c124 | nextThreshold = 3

currentTclustCluster = c125 | nextThreshold = 3

currentTclustCluster = c129 | nextThreshold = 3

currentTclustCluster = c43 | nextThreshold = 3

currentTclustCluster = c132 | nextThreshold = 3

currentTclustCluster = c46 | nextThreshold = 3

currentTclustCluster = c51 | nextThreshold = 3

currentTclustCluster = c52 | nextThreshold = 3

currentTclustCluster = c140 | nextThreshold = 3

currentTclustCluster = c56 | nextThreshold = 3

currentTclustCluster = c142 | nextThreshold = 3

currentTclustCluster = c145 | nextThreshold = 3

currentTclustCluster = c66 | nextThreshold = 3

currentTclustCluster = c68 | nextThreshold = 3

currentTclustCluster = c79 | nextThreshold = 3

currentTclustCluster = c102 | nextThreshold = 3

currentTclustCluster = c103 | nextThreshold = 3

currentTclustCluster = c104 | nextThreshold = 3

currentTclustCluster = c105 | nextThreshold = 3

currentTclustCluster = c106 | nextThreshold = 3

currentTclustCluster = c34 | nextThreshold = 4

currentTclustCluster = c35 | nextThreshold = 4

currentTclustCluster = c37 | nextThreshold = 4

currentTclustCluster = c156 | nextThreshold = 4

currentTclustCluster = c160 | nextThreshold = 4

currentTclustCluster = c120 | nextThreshold = 4

currentTclustCluster = c163 | nextThreshold = 4

currentTclustCluster = c164 | nextThreshold = 4

currentTclustCluster = c124 | nextThreshold = 4

