
currentTclustCluster = c1 | nextThreshold = -1

currentTclustCluster = c1 | nextThreshold = 0

currentTclustCluster = c3 | nextThreshold = 1

currentTclustCluster = c5 | nextThreshold = 2

currentTclustCluster = c6 | nextThreshold = 2

currentTclustCluster = c7 | nextThreshold = 2

currentTclustCluster = c8 | nextThreshold = 2

currentTclustCluster = c9 | nextThreshold = 2

currentTclustCluster = c10 | nextThreshold = 2

currentTclustCluster = c11 | nextThreshold = 2

currentTclustCluster = c12 | nextThreshold = 2

currentTclustCluster = c5 | nextThreshold = 3

currentTclustCluster = c13 | nextThreshold = 3

currentTclustCluster = c14 | nextThreshold = 3

currentTclustCluster = c15 | nextThreshold = 3

currentTclustCluster = c18 | nextThreshold = 3

currentTclustCluster = c7 | nextThreshold = 3

currentTclustCluster = c19 | nextThreshold = 3

currentTclustCluster = c20 | nextThreshold = 3

currentTclustCluster = c9 | nextThreshold = 3

currentTclustCluster = c10 | nextThreshold = 3

currentTclustCluster = c11 | nextThreshold = 3

currentTclustCluster = c12 | nextThreshold = 3

currentTclustCluster = c5 | nextThreshold = 4

currentTclustCluster = c13 | nextThreshold = 4

currentTclustCluster = c14 | nextThreshold = 4

currentTclustCluster = c15 | nextThreshold = 4

currentTclustCluster = c18 | nextThreshold = 4

currentTclustCluster = c7 | nextThreshold = 4

currentTclustCluster = c19 | nextThreshold = 4

currentTclustCluster = c20 | nextThreshold = 4

currentTclustCluster = c9 | nextThreshold = 4

currentTclustCluster = c10 | nextThreshold = 4

currentTclustCluster = c11 | nextThreshold = 4

currentTclustCluster = c12 | nextThreshold = 4

currentTclustCluster = c5 | nextThreshold = 5

currentTclustCluster = c13 | nextThreshold = 5

currentTclustCluster = c14 | nextThreshold = 5

currentTclustCluster = c15 | nextThreshold = 5

currentTclustCluster = c18 | nextThreshold = 5

currentTclustCluster = c7 | nextThreshold = 5

currentTclustCluster = c19 | nextThreshold = 5

currentTclustCluster = c20 | nextThreshold = 5

currentTclustCluster = c9 | nextThreshold = 5

currentTclustCluster = c10 | nextThreshold = 5

currentTclustCluster = c11 | nextThreshold = 5

currentTclustCluster = c12 | nextThreshold = 5

currentTclustCluster = c5 | nextThreshold = 6

currentTclustCluster = c13 | nextThreshold = 6

currentTclustCluster = c14 | nextThreshold = 6

currentTclustCluster = c15 | nextThreshold = 6

currentTclustCluster = c18 | nextThreshold = 6

currentTclustCluster = c7 | nextThreshold = 6

currentTclustCluster = c19 | nextThreshold = 6

currentTclustCluster = c20 | nextThreshold = 6

currentTclustCluster = c9 | nextThreshold = 6

currentTclustCluster = c10 | nextThreshold = 6

currentTclustCluster = c11 | nextThreshold = 6

currentTclustCluster = c12 | nextThreshold = 6

currentTclustCluster = c5 | nextThreshold = 7

currentTclustCluster = c13 | nextThreshold = 7

currentTclustCluster = c14 | nextThreshold = 7

currentTclustCluster = c15 | nextThreshold = 7

currentTclustCluster = c18 | nextThreshold = 7

currentTclustCluster = c7 | nextThreshold = 7

currentTclustCluster = c19 | nextThreshold = 7

currentTclustCluster = c20 | nextThreshold = 7

currentTclustCluster = c9 | nextThreshold = 7

currentTclustCluster = c10 | nextThreshold = 7

currentTclustCluster = c11 | nextThreshold = 7

