Threshold = -1 | F-measure = 0.098756 | clusters = 1 | common = 215 | cost = 0
Threshold = 0 | F-measure = 0.1110057 | clusters = 32 | common = 222 | cost = 39915.40234375
Threshold = 1 | F-measure = 0.5171362 | clusters = 74 | common = 536 | cost = 49577.40234375
Threshold = 2 | F-measure = 0.6761413 | clusters = 103 | common = 626 | cost = 38141.81640625
Threshold = 3 | F-measure = 0.7045234 | clusters = 116 | common = 640 | cost = 50524.25390625
Threshold = 4 | F-measure = 0.7114256 | clusters = 121 | common = 644 | cost = 65379.8828125
Threshold = 5 | F-measure = 0.7414258 | clusters = 121 | common = 666 | cost = 78742.265625
Threshold = 6 | F-measure = 0.7414258 | clusters = 122 | common = 666 | cost = 93281.078125
Threshold = 7 | F-measure = 0.73635 | clusters = 127 | common = 659 | cost = 106929.6796875
Threshold = 8 | F-measure = 0.7355916 | clusters = 130 | common = 658 | cost = 121775.8046875
Threshold = 9 | F-measure = 0.7322905 | clusters = 138 | common = 651 | cost = 136166.984375
Threshold = 10 | F-measure = 0.732125 | clusters = 148 | common = 649 | cost = 150842.359375
Threshold = 11 | F-measure = 0.7536628 | clusters = 153 | common = 662 | cost = 165149.515625
Threshold = 12 | F-measure = 0.7467274 | clusters = 159 | common = 655 | cost = 178982.34375
Threshold = 13 | F-measure = 0.7549911 | clusters = 164 | common = 659 | cost = 193054.015625
Threshold = 14 | F-measure = 0.757944 | clusters = 168 | common = 652 | cost = 205315.375
Threshold = 15 | F-measure = 0.7559768 | clusters = 172 | common = 650 | cost = 217912.46875
Threshold = 16 | F-measure = 0.7625865 | clusters = 178 | common = 652 | cost = 230661.796875
Threshold = 17 | F-measure = 0.7647134 | clusters = 185 | common = 651 | cost = 243531.296875
Threshold = 18 | F-measure = 0.7579867 | clusters = 195 | common = 643 | cost = 256391.78125
Threshold = 19 | F-measure = 0.7573151 | clusters = 197 | common = 642 | cost = 269188.3125
Threshold = 20 | F-measure = 0.7523375 | clusters = 200 | common = 637 | cost = 282278.625
Threshold = 21 | F-measure = 0.7605785 | clusters = 211 | common = 638 | cost = 295193.78125
Threshold = 22 | F-measure = 0.7608996 | clusters = 212 | common = 638 | cost = 307793.78125
Threshold = 23 | F-measure = 0.7552445 | clusters = 220 | common = 634 | cost = 320110.71875
Threshold = 24 | F-measure = 0.7448504 | clusters = 233 | common = 618 | cost = 332525.25
Threshold = 25 | F-measure = 0.7287952 | clusters = 237 | common = 600 | cost = 344652.4375
Threshold = 26 | F-measure = 0.7307132 | clusters = 237 | common = 600 | cost = 356688.53125
Threshold = 27 | F-measure = 0.7203245 | clusters = 246 | common = 588 | cost = 368311.34375
Threshold = 28 | F-measure = 0.7257923 | clusters = 246 | common = 591 | cost = 379657.59375
Threshold = 29 | F-measure = 0.7220149 | clusters = 253 | common = 587 | cost = 391501.9375
Threshold = 30 | F-measure = 0.7183328 | clusters = 257 | common = 584 | cost = 403188.9375
Threshold = 31 | F-measure = 0.7153123 | clusters = 256 | common = 580 | cost = 415284.53125
Threshold = 32 | F-measure = 0.718004 | clusters = 260 | common = 582 | cost = 426827.0625
Threshold = 33 | F-measure = 0.7133 | clusters = 262 | common = 578 | cost = 438877.46875
Threshold = 34 | F-measure = 0.7119254 | clusters = 275 | common = 574 | cost = 450365.59375
Threshold = 35 | F-measure = 0.7043745 | clusters = 277 | common = 567 | cost = 462650.90625
Threshold = 36 | F-measure = 0.7004416 | clusters = 285 | common = 563 | cost = 473194.25
Threshold = 37 | F-measure = 0.7022245 | clusters = 284 | common = 566 | cost = 485556.53125
Threshold = 38 | F-measure = 0.6989983 | clusters = 290 | common = 562 | cost = 496381.625
Threshold = 39 | F-measure = 0.6965796 | clusters = 293 | common = 559 | cost = 506838.15625
Threshold = 40 | F-measure = 0.6914144 | clusters = 303 | common = 553 | cost = 518259.1875
