Threshold = -1 | Cost = 0 | Clusters = 1
Threshold = 0 | Cost = 0 | Clusters = 1
Threshold = 1 | Cost = 0 | Clusters = 1
Threshold = 2 | Cost = 1 | Clusters = 1
Threshold = 3 | Cost = 2 | Clusters = 1
Threshold = 4 | Cost = 3 | Clusters = 1
Threshold = 5 | Cost = 4.32782983779907 | Clusters = 1
Threshold = 6 | Cost = 6.84751987457275 | Clusters = 1
Threshold = 7 | Cost = 9.84751987457275 | Clusters = 1
Threshold = 8 | Cost = 13.6956901550293 | Clusters = 1
Threshold = 9 | Cost = 19.3849906921387 | Clusters = 1
Threshold = 10 | Cost = 25.38498878479 | Clusters = 1
Threshold = 11 | Cost = 31.9154987335205 | Clusters = 1
Threshold = 12 | Cost = 39.4459190368652 | Clusters = 1
Threshold = 13 | Cost = 47.4459190368652 | Clusters = 1
Threshold = 14 | Cost = 56.7029685974121 | Clusters = 1
Threshold = 15 | Cost = 69.5970916748047 | Clusters = 1
Threshold = 16 | Cost = 87.5916290283203 | Clusters = 1
Threshold = 17 | Cost = 111.229705810547 | Clusters = 1
Threshold = 18 | Cost = 137.634429931641 | Clusters = 1
Threshold = 19 | Cost = 168.696395874023 | Clusters = 1
Threshold = 20 | Cost = 204.113067626953 | Clusters = 1
Threshold = 21 | Cost = 249.263442993164 | Clusters = 1
Threshold = 22 | Cost = 303.946136474609 | Clusters = 1
Threshold = 23 | Cost = 366.320495605469 | Clusters = 1
Threshold = 24 | Cost = 442.132141113281 | Clusters = 1
Threshold = 25 | Cost = 536.336364746094 | Clusters = 1
Threshold = 26 | Cost = 652.695373535156 | Clusters = 1
Threshold = 27 | Cost = 787.75390625 | Clusters = 1
Threshold = 28 | Cost = 949.682495117188 | Clusters = 1
Threshold = 29 | Cost = 1148.52270507812 | Clusters = 1
Threshold = 30 | Cost = 1390.84143066406 | Clusters = 1
Threshold = 31 | Cost = 1678.54272460938 | Clusters = 1
Threshold = 32 | Cost = 2021.69909667969 | Clusters = 1
Threshold = 33 | Cost = 2423.43774414062 | Clusters = 1
Threshold = 34 | Cost = 2897.22338867188 | Clusters = 1
Threshold = 35 | Cost = 3461.43237304688 | Clusters = 1
Threshold = 36 | Cost = 4146.0888671875 | Clusters = 1
Threshold = 37 | Cost = 4969.4853515625 | Clusters = 1
Threshold = 38 | Cost = 5923.14794921875 | Clusters = 1
Threshold = 39 | Cost = 7049.298828125 | Clusters = 1
Threshold = 40 | Cost = 8363.6044921875 | Clusters = 1
Threshold = 41 | Cost = 9896.2158203125 | Clusters = 1
Threshold = 42 | Cost = 11672.208984375 | Clusters = 1
Threshold = 43 | Cost = 13724.9150390625 | Clusters = 1
Threshold = 44 | Cost = 16104.318359375 | Clusters = 1
Threshold = 45 | Cost = 18857.515625 | Clusters = 1
Threshold = 46 | Cost = 22003.873046875 | Clusters = 1
