Threshold Cost Clusters
-1 0 1
0 0 1
1 345549 1
2 693048 1
3 1040395 2
4 878505 42
5 880324 62
6 943108 72
7 1025028 43
8 1061245 88
9 1074727 129
10 1165080 169
11 1062680 117
12 1092704 120
13 1150342 157
14 1051597 123
15 1103731 139
16 1122248 148
17 1153036 163
18 1141828 205
19 1183177 216
20 1154182 188
21 1177019 254
22 1151252 280
23 1200315 336
24 1204890 372
25 1230153 353
26 1211688 391
27 1192500 370
28 1220267 405
29 1264019 456
30 1268551 474
31 1270932 487
32 1255110 460
33 1226081 481
34 1217235 473
35 1270551 527
36 1267024 538
37 1268235 558
38 1225478 558
39 1199764 541
40 1198424 556
41 1208279 561
42 1226098 590
43 1173714 537
44 1182805 579
45 1200770 621
46 1197074 626
47 1168995 620
48 1168140 650
49 1152736 649
50 1135005 635
51 1131505 666
52 1123780 657
53 1102656 667
54 1093276 663
55 1096568 704
56 1073065 691
57 1070628 721
58 1069509 718
59 1033358 682
60 1038181 736
61 1012748 707
62 996927 719
63 995364 735
64 971014 709
65 939924 693
66 962468 763
67 951878 763
68 936061 763
69 922901 771
70 912343 774
71 902880 790
72 893474 794
73 879093 788
74 868796 800
75 851359 802
76 840814 806
77 824551 797
78 806058 788
79 793707 785
80 778409 796
81 770619 805
82 749436 800
83 743192 805
84 731828 810
85 718306 805
86 706685 810
87 695842 823
88 683038 826
89 670620 830
90 656929 824
91 644620 831
92 632938 839
93 620802 847
94 607867 844
95 595974 854
96 579736 847
97 566189 846
98 556768 858
99 541170 842
100 531059 862
101 515866 854
102 502826 854
103 492159 863
104 478920 861
105 466547 865
106 453687 864
107 440902 863
108 428478 866
109 415826 864
110 403431 865
111 390947 864
112 378904 866
113 366763 866
114 354709 866
115 342726 866
116 330700 864
117 319028 866
118 307273 865
119 295731 866
120 284248 866
121 272870 866
122 261536 865
123 250430 866
124 239376 866
125 228467 866
126 217706 866
127 207080 866
128 196580 866
129 186251 866
130 176126 866
131 166209 866
132 156527 866
133 147099 866
134 137925 865
135 129192 866
136 120808 866
137 112877 866
138 105438 866
139 98497 866
140 91998 866
141 85898 866
142 80176 866
143 74797 866
144 69809 866
145 65159 866
146 60851 866
147 56893 866
148 53225 866
149 49743 864
150 46541 864
151 43456 862
152 40613 861
153 37896 860
154 35198 855
155 32583 850
156 29988 844
157 27671 844
158 25433 844
159 23242 843
160 21088 840
161 18885 833
162 16931 832
163 14928 825
164 13088 823
165 11379 823
166 9659 812
167 7967 792
168 6408 769
169 4252 661
170 3057 626
171 2238 618
172 660 477
173 400 515
174 227 549
175 123 596
176 68 660
177 32 709
178 9 749
179 1 806
180 0 866
181 0 866
