Threshold = -1 | Cost = 0 | Clusters = 1
Threshold = 0 | Cost = 0 | Clusters = 1
Threshold = 1 | Cost = 0 | Clusters = 1
Threshold = 2 | Cost = 1 | Clusters = 1
Threshold = 3 | Cost = 2 | Clusters = 1
Threshold = 4 | Cost = 3 | Clusters = 1
Threshold = 5 | Cost = 4 | Clusters = 1
Threshold = 6 | Cost = 5 | Clusters = 1
Threshold = 7 | Cost = 6 | Clusters = 1
Threshold = 8 | Cost = 7 | Clusters = 1
Threshold = 9 | Cost = 8 | Clusters = 1
Threshold = 10 | Cost = 9.6314697265625 | Clusters = 1
Threshold = 11 | Cost = 11.6314697265625 | Clusters = 1
Threshold = 12 | Cost = 13.6314697265625 | Clusters = 1
Threshold = 13 | Cost = 15.6314697265625 | Clusters = 1
Threshold = 14 | Cost = 17.9580097198486 | Clusters = 1
Threshold = 15 | Cost = 20.9580097198486 | Clusters = 1
Threshold = 16 | Cost = 23.9580097198486 | Clusters = 1
Threshold = 17 | Cost = 27.8876495361328 | Clusters = 1
Threshold = 18 | Cost = 32.7856674194336 | Clusters = 1
Threshold = 19 | Cost = 39.2050628662109 | Clusters = 1
Threshold = 20 | Cost = 46.2050704956055 | Clusters = 1
Threshold = 21 | Cost = 55.2798194885254 | Clusters = 1
Threshold = 22 | Cost = 67.3834533691406 | Clusters = 1
Threshold = 23 | Cost = 81.649055480957 | Clusters = 1
Threshold = 24 | Cost = 99.6540451049805 | Clusters = 1
Threshold = 25 | Cost = 120.953964233398 | Clusters = 1
Threshold = 26 | Cost = 145.404632568359 | Clusters = 1
Threshold = 27 | Cost = 173.785400390625 | Clusters = 1
Threshold = 28 | Cost = 209.743469238281 | Clusters = 1
Threshold = 29 | Cost = 255.036041259766 | Clusters = 1
Threshold = 30 | Cost = 307.130584716797 | Clusters = 1
Threshold = 31 | Cost = 370.52197265625 | Clusters = 1
Threshold = 32 | Cost = 447.371612548828 | Clusters = 1
Threshold = 33 | Cost = 540.41748046875 | Clusters = 1
Threshold = 34 | Cost = 660.468688964844 | Clusters = 1
Threshold = 35 | Cost = 809.089660644531 | Clusters = 1
Threshold = 36 | Cost = 982.155456542969 | Clusters = 1
Threshold = 37 | Cost = 1178.90063476562 | Clusters = 1
Threshold = 38 | Cost = 1410.45874023438 | Clusters = 1
Threshold = 39 | Cost = 1690.02294921875 | Clusters = 1
Threshold = 40 | Cost = 2030.9169921875 | Clusters = 1
Threshold = 41 | Cost = 2433.21508789062 | Clusters = 1
Threshold = 42 | Cost = 2911.841796875 | Clusters = 1
Threshold = 43 | Cost = 3469.78491210938 | Clusters = 1
Threshold = 44 | Cost = 4118.76025390625 | Clusters = 1
Threshold = 45 | Cost = 4873.01416015625 | Clusters = 1
Threshold = 46 | Cost = 5770.02734375 | Clusters = 1
Threshold = 47 | Cost = 6816.53125 | Clusters = 1
