Threshold = -1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 0 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 17959.064453125
Threshold = 2 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 37034.34375
Threshold = 3 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 56723.09765625
Threshold = 4 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 76822.15625
Threshold = 5 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 97198.203125
Threshold = 6 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 117751.765625
Threshold = 7 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 138403
Threshold = 8 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 159115.515625
Threshold = 9 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 179848.5625
Threshold = 10 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 200594.5625
Threshold = 11 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 221369.75
Threshold = 12 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 242169.046875
Threshold = 13 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 263000
Threshold = 14 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 283866.46875
Threshold = 15 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 304762.25
Threshold = 16 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 325679.78125
Threshold = 17 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 346626.875
Threshold = 18 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 367595.875
Threshold = 19 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 388574.78125
Threshold = 20 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 409561.9375
Threshold = 21 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 430565.90625
Threshold = 22 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 451586.8125
Threshold = 23 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 472614.9375
Threshold = 24 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 493661.125
Threshold = 25 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 514730.90625
Threshold = 26 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 535828.6875
Threshold = 27 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 556933.3125
Threshold = 28 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 578041.1875
Threshold = 29 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 599158.1875
Threshold = 30 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 620280.6875
Threshold = 31 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 641408.625
Threshold = 32 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 662541.3125
Threshold = 33 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 683678.0625
Threshold = 34 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 704824.8125
Threshold = 35 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 725971.6875
Threshold = 36 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 747126.0625
Threshold = 37 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 768290.5
Threshold = 38 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 789459.375
Threshold = 39 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 810631.9375
Threshold = 40 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 831809.9375
Threshold = 41 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 853000.5625
Threshold = 42 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 874211.25
Threshold = 43 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 893026.125
Threshold = 44 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 916640.9375
Threshold = 45 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 937095.75
Threshold = 46 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 959080.0625
Threshold = 47 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 980308.375
Threshold = 48 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1001537
Threshold = 49 | F-measure = 0.2530845 | clusters = 2 | common = 96 | cost = 1019780.25
Threshold = 50 | F-measure = 0.2551577 | clusters = 10 | common = 93 | cost = 1038585.125
Threshold = 51 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1065237.875
Threshold = 52 | F-measure = 0.2639468 | clusters = 10 | common = 96 | cost = 1068437.375
Threshold = 53 | F-measure = 0.2476249 | clusters = 19 | common = 85 | cost = 1089649.25
Threshold = 54 | F-measure = 0.2562186 | clusters = 8 | common = 96 | cost = 1114260.375
Threshold = 55 | F-measure = 0.2227322 | clusters = 34 | common = 69 | cost = 1110944
Threshold = 56 | F-measure = 0.2320803 | clusters = 156 | common = 42 | cost = 1130651.5
Threshold = 57 | F-measure = 0.1781631 | clusters = 153 | common = 31 | cost = 1134415.875
Threshold = 58 | F-measure = 0.1937512 | clusters = 164 | common = 35 | cost = 1128656.875
Threshold = 59 | F-measure = 0.1700529 | clusters = 170 | common = 31 | cost = 1124837.25
Threshold = 60 | F-measure = 0.2103544 | clusters = 149 | common = 38 | cost = 1112216.875
Threshold = 61 | F-measure = 0.1458067 | clusters = 171 | common = 29 | cost = 1112780.625
Threshold = 62 | F-measure = 0.1357585 | clusters = 164 | common = 28 | cost = 1104438.125
Threshold = 63 | F-measure = 0.143785 | clusters = 155 | common = 27 | cost = 1104850.25
Threshold = 64 | F-measure = 0.1692409 | clusters = 160 | common = 31 | cost = 1100958
Threshold = 65 | F-measure = 0.1367331 | clusters = 169 | common = 27 | cost = 1092749
