Threshold = -1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 0 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 2 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1
Threshold = 3 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2
Threshold = 4 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3
Threshold = 5 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4
Threshold = 6 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5.86154985427856
Threshold = 7 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7.86154985427856
Threshold = 8 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9.86155033111572
Threshold = 9 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 11.8615503311157
Threshold = 10 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 13.8615493774414
Threshold = 11 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 16.0077495574951
Threshold = 12 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 19.0077495574951
Threshold = 13 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 22.0077495574951
Threshold = 14 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 25.757230758667
Threshold = 15 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 29.757230758667
Threshold = 16 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 33.9377708435059
Threshold = 17 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 39.971549987793
Threshold = 18 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 48.4849548339844
Threshold = 19 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 57.9730339050293
Threshold = 20 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 68.9275054931641
Threshold = 21 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 79.9275131225586
Threshold = 22 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 91.0150833129883
Threshold = 23 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 103.015083312988
Threshold = 24 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 115.925407409668
Threshold = 25 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 130.145172119141
Threshold = 26 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 145.812927246094
Threshold = 27 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 161.812927246094
Threshold = 28 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 179.393020629883
Threshold = 29 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 200.029434204102
Threshold = 30 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 223.549453735352
Threshold = 31 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 249.727584838867
Threshold = 32 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 279.246826171875
Threshold = 33 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 312.973449707031
Threshold = 34 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 347.973419189453
Threshold = 35 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 385.042877197266
Threshold = 36 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 426.300964355469
Threshold = 37 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 470.942749023438
Threshold = 38 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 519.642456054688
Threshold = 39 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 571.319702148438
Threshold = 40 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 628.875793457031
Threshold = 41 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 688.808410644531
Threshold = 42 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 754.614624023438
Threshold = 43 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 831.461791992188
Threshold = 44 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 917.148254394531
Threshold = 45 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1009.59118652344
Threshold = 46 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1109.51977539062
Threshold = 47 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1217.09838867188
Threshold = 48 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1335.29248046875
Threshold = 49 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1466.04992675781
Threshold = 50 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1609.81677246094
Threshold = 51 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1766.95861816406
Threshold = 52 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1938.6611328125
Threshold = 53 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2120.4638671875
Threshold = 54 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2314.84448242188
Threshold = 55 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2527.75610351562
Threshold = 56 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2759.87255859375
Threshold = 57 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3014.53491210938
Threshold = 58 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3289.87524414062
Threshold = 59 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3586.11889648438
Threshold = 60 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3903.7841796875
Threshold = 61 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4236.67236328125
Threshold = 62 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4595.9521484375
Threshold = 63 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4983.8486328125
Threshold = 64 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5403.39111328125
Threshold = 65 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5850.5673828125
Threshold = 66 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6325.859375
Threshold = 67 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6833.80859375
Threshold = 68 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7375.02734375
Threshold = 69 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7945.392578125
Threshold = 70 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 8549.94921875
Threshold = 71 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9196.1337890625
Threshold = 72 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9892.4189453125
Threshold = 73 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 10630.9765625
