Threshold F-measure Clusters Common Cost
-1 0.098756 1 215 0
0 0.1110057 32 222 39915.40234375
1 0.5171362 74 536 49577.40234375
2 0.6761413 103 626 38141.81640625
3 0.7045234 116 640 50524.25390625
4 0.7114256 121 644 65379.8828125
5 0.7414258 121 666 78742.265625
6 0.7414258 122 666 93281.078125
7 0.73635 127 659 106929.6796875
8 0.7355916 130 658 121775.8046875
9 0.7322905 138 651 136166.984375
10 0.732125 148 649 150842.359375
11 0.7536628 153 662 165149.515625
12 0.7467274 159 655 178982.34375
13 0.7549911 164 659 193054.015625
14 0.757944 168 652 205315.375
15 0.7559768 172 650 217912.46875
16 0.7625865 178 652 230661.796875
17 0.7647134 185 651 243531.296875
18 0.7579867 195 643 256391.78125
19 0.7573151 197 642 269188.3125
20 0.7523375 200 637 282278.625
21 0.7605785 211 638 295193.78125
22 0.7608996 212 638 307793.78125
23 0.7552445 220 634 320110.71875
24 0.7448504 233 618 332525.25
25 0.7287952 237 600 344652.4375
26 0.7307132 237 600 356688.53125
27 0.7203245 246 588 368311.34375
28 0.7257923 246 591 379657.59375
29 0.7220149 253 587 391501.9375
30 0.7183328 257 584 403188.9375
31 0.7153123 256 580 415284.53125
32 0.718004 260 582 426827.0625
33 0.7133 262 578 438877.46875
34 0.7119254 275 574 450365.59375
35 0.7043745 277 567 462650.90625
36 0.7004416 285 563 473194.25
37 0.7022245 284 566 485556.53125
38 0.6989983 290 562 496381.625
39 0.6965796 293 559 506838.15625
40 0.6914144 303 553 518259.1875
41 0.6925669 299 555 529525.25
42 0.6829483 309 545 539993.5625
43 0.6790627 311 542 550784.3125
44 0.6755035 314 537 560925.75
45 0.6732964 321 535 571735.625
46 0.6714327 322 533 582808
47 0.6615005 340 522 591758.125
48 0.6570252 346 518 601673
49 0.6582353 347 519 612792.8125
50 0.6509635 361 512 619683.1875
51 0.6498427 359 512 633117.5
52 0.6381803 371 502 641157.1875
53 0.6183933 380 471 631754.9375
54 0.637677 374 498 661051.6875
55 0.6035279 404 452 634735.8125
56 0.6029657 399 450 637561.5625
57 0.60887 399 471 664737.4375
58 0.6068763 404 467 670698.1875
59 0.5862225 418 434 630494.4375
60 0.6013854 411 458 685898.5
61 0.5807797 432 432 657511
62 0.5637852 455 411 642652.75
63 0.561022 463 407 638402.625
64 0.5556337 464 404 642958.3125
65 0.5546637 468 403 634520.0625
66 0.5505444 472 400 630778.625
67 0.5585454 454 408 643601.75
68 0.5546977 456 406 648447.5625
69 0.5532616 458 402 635234.0625
70 0.5373034 487 384 639300.25
71 0.5408388 479 391 641259.375
72 0.543896 474 394 634808.6875
73 0.5409195 480 391 634050.125
74 0.5255415 496 372 623450.75
75 0.5305511 492 377 620240.0625
76 0.5229957 509 367 611791.9375
77 0.5193726 515 367 614404.375
78 0.5049354 516 354 611962.875
79 0.4975021 526 345 608126.5
80 0.5058012 525 353 592809.375
81 0.489545 524 340 599094.3125
82 0.4862323 538 336 592528.5625
83 0.476439 544 328 583829.625
