Threshold F-measure Clusters Common Cost
-1 0.2596593 1 100 0
0 0.2647541 2 101 0
1 0.6231188 10 170 4514.24365234375
2 0.8286459 16 202 2048.22802734375
3 0.8286459 16 202 1078.91906738281
4 0.8224883 15 201 493.095550537109
5 0.8224883 15 201 193.734619140625
6 0.8286459 16 202 65.667839050293
7 0.8286459 16 202 30.3749313354492
8 0.8286459 16 202 45.4786491394043
9 0.8286459 16 202 81.9768524169922
10 0.8286459 16 202 133.795318603516
11 0.8404319 18 204 192.841003417969
12 0.8404319 18 204 258.222808837891
13 0.8404319 18 204 359.119018554688
14 0.8446848 18 204 467.624176025391
15 0.8446848 18 204 594.877502441406
16 0.8446848 18 204 748.534057617188
17 0.8951794 19 214 672.853088378906
18 0.8987714 20 215 602.494079589844
19 0.8987714 20 215 539.652465820312
20 0.8987714 20 215 485.032653808594
21 0.8987714 20 215 443.523468017578
22 0.8987714 20 215 418.072357177734
23 0.9215655 21 219 392.734985351562
24 0.9215655 21 219 338.152069091797
25 0.9233597 22 219 292.095611572266
26 0.9233597 22 219 262.11474609375
27 0.9233597 22 219 241.290832519531
28 0.9402932 22 222 213.273147583008
29 0.9402932 22 222 181.401519775391
30 0.9462662 23 223 145.825973510742
31 0.9462662 23 223 114.92635345459
32 0.9462662 23 223 87.4034652709961
33 0.9462662 23 223 62.737922668457
34 0.9462662 23 223 46.1973114013672
35 0.9462662 23 223 30.1973075866699
36 0.9462662 23 223 18.9577293395996
37 0.9462662 23 223 17.5228805541992
38 0.9587662 24 225 20.376859664917
39 0.9587662 24 225 13.5071887969971
40 0.9587662 24 225 11.936619758606
41 0.9573173 26 223 7.10925006866455
42 0.9573173 26 223 7.44370031356812
43 0.9573173 26 223 11.7481899261475
44 0.9573173 26 223 17.7481899261475
45 0.9573173 26 223 24.7481880187988
46 0.9573173 26 223 36.3502502441406
47 0.9816176 28 227 49.5371513366699
48 0.9816176 28 227 34.5371475219727
49 0.9816176 28 227 19.5371494293213
50 0.9816176 28 227 10.3187599182129
51 0.9816176 28 227 6.39793968200684
52 0.9816176 28 227 3.39794015884399
53 0.9816176 28 227 0.698970019817352
54 0.9816176 28 227 4.06145000457764
55 0.9816176 28 227 12.0614500045776
56 0.9816176 28 227 20.061450958252
57 0.9710812 29 223 23.6955089569092
58 0.9710812 29 223 7.6955099105835
59 0.9710812 29 223 0
60 0.9710812 29 223 0.954240024089813
61 0.9710812 29 223 1.95423996448517
62 0.9710812 29 223 2.95424008369446
63 0.968495 30 222 3.22184991836548
64 0.968495 30 222 2.22184991836548
65 0.968495 30 222 1.22185003757477
66 0.968495 30 222 0.221849992871284
67 0.968495 30 222 0
68 0.968495 30 222 0
69 0.968495 30 222 0
70 0.968495 30 222 0
71 0.968495 30 222 0
72 0.968495 30 222 0
73 0.968495 30 222 0
74 0.968495 30 222 0
75 0.968495 30 222 0
76 0.968495 30 222 0
77 0.968495 30 222 0
78 0.968495 30 222 0
79 0.968495 30 222 1.20412003993988
80 0.968495 30 222 3.50515007972717
81 0.968495 30 222 8.01029968261719
82 0.968495 30 222 13.6123600006104
83 0.968495 30 222 21.5154495239258
84 0.968495 30 222 31.8676300048828
85 0.9627479 31 220 44.6915435791016
86 0.9627479 31 220 58.1686630249023
87 0.9627479 31 220 72.6457824707031
88 0.9627479 31 220 87.6457824707031
89 0.9627479 31 220 102.645782470703
90 0.9627479 31 220 117.645782470703
91 0.9627479 31 220 132.645782470703
92 0.9627479 31 220 147.645782470703
93 0.9627479 31 220 162.645782470703
94 0.9483801 32 215 165.956283569336
95 0.9483801 32 215 157.132369995117
96 0.9483801 32 215 149.734436035156
97 0.9483801 33 215 140.303070068359
98 0.9534088 34 216 131.966567993164
99 0.9534088 34 216 127.471717834473
100 0.9534088 34 216 124.772750854492
101 0.9534088 34 216 123.471725463867
102 0.9534088 34 216 123.425964355469
103 0.9495295 35 215 124.271064758301
104 0.9495295 35 215 126.873123168945
105 0.9495295 35 215 133.207580566406
106 0.9495295 35 215 148.2744140625
107 0.9495295 35 215 170.483932495117
108 0.9495295 35 215 198.107177734375
109 0.9495295 35 215 235.16862487793
110 0.9422207 36 212 264.878112792969
111 0.9422207 36 212 305.006896972656
112 0.9422207 36 212 359.712768554688
113 0.9364679 38 210 426.985809326172
114 0.9364679 38 210 498.512145996094
115 0.9364679 38 210 580.344848632812
116 0.9364679 38 210 674.590759277344
117 0.9364679 38 210 787.713684082031
118 0.9364679 38 210 922.468811035156
119 0.9364679 38 210 1076.06555175781
120 0.9260117 39 207 1230.56726074219
121 0.9260117 39 207 1396.87719726562
122 0.9217517 39 206 1578.53381347656
123 0.9217517 39 206 1773.77478027344
124 0.9176467 40 205 1987.27124023438
125 0.9176467 40 205 2212.69018554688
126 0.9176467 40 205 2456.48217773438
127 0.9176467 40 205 2717.7353515625
128 0.9176467 40 205 3004.61840820312
129 0.9176467 40 205 3325.8203125
130 0.9176467 40 205 3681.080078125
131 0.9176467 40 205 4065.86962890625
132 0.9176467 40 205 4476.9970703125
133 0.9176467 40 205 4911.45361328125
134 0.9176467 40 205 5362.517578125
135 0.9176467 40 205 5832.69091796875
136 0.9150604 41 204 6318.6083984375
137 0.9150604 41 204 6812.63623046875
138 0.9150604 42 204 7310.63818359375
139 0.9150604 42 204 7811.33984375
140 0.9150604 42 204 8314.1181640625
141 0.9107066 44 202 8717.626953125
142 0.9107066 44 202 9030.30859375
143 0.9084965 43 201 9563.3759765625
144 0.9084965 43 201 9792.958984375
145 0.9017295 45 198 9779.9951171875
146 0.9017295 43 198 8423.7060546875
147 0.9017295 43 198 8388.6884765625
148 0.9017295 43 198 8356.9443359375
149 0.9017295 43 198 8327.5458984375
150 0.9017295 43 198 8301.32421875
151 0.9017295 44 198 9370.560546875
152 0.9017295 43 198 8269.46484375
153 0.9017295 43 198 8272.2763671875
154 0.9017295 43 198 8284.8076171875
155 0.9017295 43 198 8308.3134765625
156 0.9017295 43 198 8346.6005859375
157 0.9017295 43 198 8399.5078125
158 0.9017295 43 198 8470.0791015625
159 0.9017295 43 198 8566.5849609375
160 0.9017295 43 198 8691.611328125
161 0.9017295 43 198 8837.189453125
162 0.9017295 43 198 9027.5927734375
163 0.9017295 43 198 9260.3515625
164 0.9017295 43 198 9537.3125
165 0.9017295 43 198 9851.873046875
166 0.8969684 44 197 10210.5810546875
167 0.8969684 44 197 10607.33984375
168 0.8969684 44 197 11043.7333984375
169 0.8969684 44 197 11533.8427734375
170 0.8969684 44 197 12078.640625
171 0.8946474 45 196 12702.24609375
172 0.8946474 45 196 13390.5068359375
173 0.8946474 45 196 14134.66015625
174 0.8946474 45 196 14941.3076171875
175 0.8946474 45 196 15817.6708984375
176 0.8946474 45 196 16767.84765625
177 0.8876679 46 193 17002.515625
178 0.8876679 48 193 18836.302734375
179 0.8876679 48 193 19728.169921875
180 0.8876679 47 193 20553.71875
181 0.8876679 47 193 21569.712890625
182 0.8876679 47 193 22585.71484375
183 0.8854735 48 192 23595.71875
184 0.8854735 48 192 24584.712890625
185 0.8854735 48 192 25573.705078125
186 0.8854735 47 192 25752.228515625
187 0.8854735 48 192 27551.685546875
188 0.8854735 47 192 27746.21875
189 0.8854735 47 192 28743.208984375
190 0.8854735 47 192 29740.201171875
191 0.8854735 47 192 30737.19921875
192 0.8854735 47 192 31734.1953125
193 0.8854735 47 192 32731.19140625
194 0.8806974 51 190 34386.40625
195 0.8854735 47 192 34725.1875
196 0.883098 49 191 35813.65625
197 0.883098 49 191 36712.65234375
198 0.883098 49 191 37611.65234375
199 0.8806974 51 190 38431.38671875
200 0.8806974 51 190 39240.37109375
201 0.8806974 51 190 40049.359375
202 0.8806974 51 190 40858.359375
203 0.8806974 51 190 41667.34765625
204 0.8806974 51 190 42476.33984375
205 0.8806974 51 190 43285.328125
206 0.8806974 51 190 44094.328125
207 0.8806974 51 190 44903.3203125
208 0.8779896 52 189 45708.0234375
209 0.875714 53 188 46506.28125
210 0.875714 53 188 47284.27734375
211 0.875714 53 188 48062.26953125
212 0.875714 53 188 48840.26953125
213 0.875714 53 188 49618.26171875
214 0.875714 53 188 50396.2578125
215 0.8648475 54 185 51166.41015625
216 0.8648475 54 185 51932.40234375
217 0.8648475 54 185 52698.40234375
218 0.8648475 54 185 53464.39453125
219 0.8648475 54 185 54230.39453125
220 0.8599692 56 183 54526.36328125
221 0.8648475 54 185 55762.38671875
222 0.8648475 54 185 56528.3828125
223 0.8648475 54 185 57294.37890625
224 0.8574908 57 182 56518.5703125
225 0.8574908 57 182 57022.5625
226 0.8498928 59 179 58036.0078125
227 0.852453 58 180 57938.5546875
228 0.852453 58 180 58274.5546875
229 0.8281259 60 171 58817.671875
230 0.8281259 60 171 58921.671875
231 0.8281259 60 171 59025.66796875
232 0.8255375 62 170 59012.7421875
233 0.8306861 61 172 59858.0546875
234 0.8281259 61 171 59200.28125
235 0.8255375 63 170 59425.95703125
236 0.8281259 62 171 59491.58984375
237 0.8255375 63 170 59199.04296875
238 0.8255375 62 170 59132.73828125
239 0.8255375 63 170 59489.95703125
240 0.8255375 62 170 59172.73828125
241 0.8255375 64 170 59604.26171875
242 0.8255375 63 170 59294.04296875
243 0.8255375 64 170 59634.2578125
244 0.8255375 63 170 59332.04296875
245 0.8255375 62 170 59272.734375
246 0.8281259 61 171 60424.26953125
247 0.8281259 61 171 60526.265625
248 0.8148934 64 166 60673.4453125
249 0.8121572 65 165 61268.1015625
250 0.817599 65 167 60432.4921875
251 0.8148934 63 166 59722.140625
252 0.8255375 62 170 59412.7265625
253 0.8255375 63 170 59713.9453125
254 0.8148934 65 166 59192.671875
255 0.8148934 65 166 58895.6796875
256 0.8255375 62 170 59492.71875
257 0.8255375 62 170 59512.71875
258 0.8148934 65 166 58004.6875
259 0.8121572 65 165 57761.0546875
260 0.8255375 64 170 59889.2421875
261 0.8255375 62 170 59592.71875
262 0.8037599 67 162 58712.23828125
263 0.806591 66 163 57296.515625
264 0.8037599 67 162 57584.765625
265 0.8148934 65 166 55925.6953125
266 0.8037599 68 162 55509.69921875
267 0.8121572 67 165 54889.69140625
268 0.8148934 66 166 55090.00390625
269 0.8037599 68 162 53715.71484375
270 0.8093899 66 164 53213.34375
271 0.806591 68 163 53362.69921875
272 0.8148934 65 166 53846.7109375
273 0.8121572 65 165 53192.46875
274 0.800896 67 161 53511.046875
275 0.806591 67 163 50739.2578125
276 0.8070689 68 163 50562.875
277 0.8014389 69 161 48921.99609375
278 0.7927469 71 158 50502.58203125
279 0.8014389 71 161 47802.625
280 0.7897815 71 157 48012.76953125
281 0.7897815 71 157 47131.7890625
282 0.7897815 72 157 46498.640625
283 0.7985751 72 160 45224.71875
284 0.7927469 72 158 45136.41796875
285 0.7867809 73 156 43211.6875
286 0.7927469 71 158 42850.65625
287 0.7837446 73 155 41985.84765625
288 0.7806719 74 154 40972.0234375
289 0.7806719 75 154 40091.8984375
290 0.7897815 74 157 39255.51171875
291 0.7897815 73 157 38299.9453125
292 0.7806719 73 154 36565.61328125
293 0.7806719 73 154 35481.65234375
294 0.7806719 73 154 34397.6484375
295 0.7806719 74 154 33483.48046875
296 0.7806719 74 154 32393.478515625
297 0.7806719 75 154 31356.0859375
298 0.7806719 76 154 30289.38671875
299 0.7806719 75 154 29172.07421875
300 0.7806719 75 154 28080.068359375
301 0.7543005 77 147 28548.302734375
302 0.7543005 77 147 27373.296875
303 0.7543005 79 147 26238.900390625
304 0.744933 80 145 25114.533203125
305 0.744933 80 145 23919.5234375
306 0.7418233 81 144 22690.564453125
307 0.7418233 81 144 21429.55078125
308 0.7418233 81 144 20168.53515625
309 0.7418233 82 144 19036.275390625
310 0.7418233 82 144 17766.25390625
311 0.7418233 84 144 16533.15625
312 0.7418233 84 144 15260.1298828125
313 0.7386759 86 143 13954.6962890625
314 0.7386759 87 143 12633.2685546875
315 0.7336019 90 142 11390.89453125
316 0.7336019 93 142 10066.05859375
317 0.7336019 93 142 8708.0361328125
318 0.7336019 93 142 7350.03955078125
319 0.7336019 94 142 5996.34814453125
320 0.7336019 95 142 4640.65869140625
321 0.7711498 85 151 3038.51440429688
322 0.767964 86 150 1722.86828613281
323 0.5439906 130 101 986.618347167969
324 0.1744457 232 29 0
