Threshold Cost Clusters
-1 0 1
0 0 1
1 344233 1
2 685650 3
3 1022143 6
4 1343627 13
5 1655656 20
6 1954609 27
7 2243186 36
8 2491245 48
9 2693783 66
10 2885303 95
11 3120586 99
12 3260290 118
13 3419081 155
14 3474525 670
15 3446084 823
16 3412545 587
17 3381607 506
18 3354516 548
19 3319064 475
20 3294264 763
21 3264468 866
22 3233493 656
23 3200894 590
24 3169421 619
25 3139740 614
26 3111548 699
27 3081891 807
28 3051290 708
29 3019580 544
30 2990496 725
31 2959126 587
32 2928391 683
33 2897962 589
34 2862986 555
35 2836440 628
36 2808073 721
37 2776170 631
38 2744965 661
39 2714730 651
40 2679346 610
41 2650816 613
42 2623230 673
43 2592446 625
44 2562515 621
45 2533307 686
46 2502179 658
47 2472342 686
48 2443330 681
49 2414177 684
50 2383595 689
51 2351782 717
52 2322047 720
53 2291982 739
54 2260714 692
55 2230962 707
56 2200469 738
57 2169735 728
58 2140060 725
59 2110257 745
60 2080638 754
61 2051407 787
62 2020760 717
63 1989966 772
64 1959974 735
65 1928884 749
66 1898137 748
67 1868051 790
68 1837699 774
69 1807252 752
70 1777088 769
71 1746466 770
72 1717564 839
73 1686711 801
74 1656520 803
75 1627029 826
76 1596853 822
77 1566567 840
78 1536174 829
79 1505835 815
80 1475119 828
81 1444458 820
82 1414490 829
83 1384344 850
84 1354210 851
85 1323811 815
86 1293647 848
87 1263393 851
88 1232692 832
89 1202426 820
90 1172305 837
91 1142263 821
92 1112054 832
93 1081585 832
94 1051324 820
95 1021162 807
96 991006 817
97 960401 842
98 929843 841
99 899611 840
100 869186 841
101 838902 836
102 808799 857
103 778343 845
104 748111 852
105 717956 852
106 687656 857
107 657602 860
108 627284 864
109 596941 862
110 566635 863
111 536382 866
112 505965 862
113 475664 862
114 445422 865
115 415067 863
116 384759 864
117 354470 865
118 324159 865
119 293886 866
120 263580 866
121 234807 866
122 208691 866
123 185052 866
124 163661 866
125 144410 866
126 127101 866
127 111614 866
128 97789 866
129 85472 866
130 74498 866
131 64799 866
132 56279 866
133 48793 866
134 42168 866
135 36337 866
136 31246 866
137 26796 866
138 22919 866
139 19551 866
140 16616 866
141 14067 866
142 11849 863
143 9948 860
144 8350 861
145 6985 860
146 5811 859
147 4757 852
148 3879 843
149 3084 825
150 2454 812
151 1940 809
152 1476 797
153 1140 789
154 844 789
155 331 761
156 258 773
157 199 786
158 147 792
159 111 800
160 86 806
161 64 820
162 46 824
163 32 830
164 24 836
165 19 842
166 15 845
167 12 847
168 9 852
169 6 856
170 4 857
171 2 857
172 1 860
173 0 861
174 0 862
175 0 863
176 0 863
177 0 863
178 0 863
179 0 864
180 0 865
181 0 865
182 0 866
183 0 866
