Threshold = -1 | Cost = 0 | Clusters = 1
Threshold = 0 | Cost = 0 | Clusters = 1
Threshold = 1 | Cost = 0 | Clusters = 1
Threshold = 2 | Cost = 1 | Clusters = 1
Threshold = 3 | Cost = 2 | Clusters = 1
Threshold = 4 | Cost = 3 | Clusters = 1
Threshold = 5 | Cost = 4 | Clusters = 1
Threshold = 6 | Cost = 5 | Clusters = 1
Threshold = 7 | Cost = 6 | Clusters = 1
Threshold = 8 | Cost = 7.62987995147705 | Clusters = 1
Threshold = 9 | Cost = 9.62987995147705 | Clusters = 1
Threshold = 10 | Cost = 11.9469699859619 | Clusters = 1
Threshold = 11 | Cost = 16.0778388977051 | Clusters = 1
Threshold = 12 | Cost = 21.7080097198486 | Clusters = 1
Threshold = 13 | Cost = 28.3232593536377 | Clusters = 1
Threshold = 14 | Cost = 35.3232612609863 | Clusters = 1
Threshold = 15 | Cost = 42.3881530761719 | Clusters = 1
Threshold = 16 | Cost = 51.3582801818848 | Clusters = 1
Threshold = 17 | Cost = 62.7789726257324 | Clusters = 1
Threshold = 18 | Cost = 77.7500305175781 | Clusters = 1
Threshold = 19 | Cost = 96.9894180297852 | Clusters = 1
Threshold = 20 | Cost = 118.565208435059 | Clusters = 1
Threshold = 21 | Cost = 147.121368408203 | Clusters = 1
Threshold = 22 | Cost = 186.054382324219 | Clusters = 1
Threshold = 23 | Cost = 232.599914550781 | Clusters = 1
Threshold = 24 | Cost = 290.196685791016 | Clusters = 1
Threshold = 25 | Cost = 357.567077636719 | Clusters = 1
Threshold = 26 | Cost = 439.243621826172 | Clusters = 1
Threshold = 27 | Cost = 544.06787109375 | Clusters = 1
Threshold = 28 | Cost = 670.71435546875 | Clusters = 1
Threshold = 29 | Cost = 826.252014160156 | Clusters = 1
Threshold = 30 | Cost = 1023.05151367188 | Clusters = 1
Threshold = 31 | Cost = 1268.82922363281 | Clusters = 1
Threshold = 32 | Cost = 1562.78637695312 | Clusters = 1
Threshold = 33 | Cost = 1921.15563964844 | Clusters = 1
Threshold = 34 | Cost = 2342.63208007812 | Clusters = 1
Threshold = 35 | Cost = 2849.90478515625 | Clusters = 1
Threshold = 36 | Cost = 3461.70703125 | Clusters = 1
Threshold = 37 | Cost = 4177.3544921875 | Clusters = 1
Threshold = 38 | Cost = 5015.7607421875 | Clusters = 1
Threshold = 39 | Cost = 5999.75 | Clusters = 1
Threshold = 40 | Cost = 7145.19482421875 | Clusters = 1
Threshold = 41 | Cost = 8458.79296875 | Clusters = 1
Threshold = 42 | Cost = 9972.1396484375 | Clusters = 1
Threshold = 43 | Cost = 11741.0859375 | Clusters = 1
Threshold = 44 | Cost = 13790.8828125 | Clusters = 1
Threshold = 45 | Cost = 16146.994140625 | Clusters = 1
Threshold = 46 | Cost = 18834.1953125 | Clusters = 1
Threshold = 47 | Cost = 21913.50390625 | Clusters = 1
