Threshold = -1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 0 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 17959.341796875
Threshold = 2 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 37029.64453125
Threshold = 3 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 56733.1171875
Threshold = 4 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 76830.1796875
Threshold = 5 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 97199.9609375
Threshold = 6 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 117722.71875
Threshold = 7 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 138332.59375
Threshold = 8 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 158994.234375
Threshold = 9 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 179680.5625
Threshold = 10 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 200384.5
Threshold = 11 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 221125.5625
Threshold = 12 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 241888.84375
Threshold = 13 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 262692.28125
Threshold = 14 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 283525.71875
Threshold = 15 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 304378.375
Threshold = 16 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 325257.8125
Threshold = 17 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 346158.96875
Threshold = 18 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 367085.3125
Threshold = 19 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 388021.125
Threshold = 20 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 408961.28125
Threshold = 21 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 429918.5
Threshold = 22 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 450889.28125
Threshold = 23 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 471866.6875
Threshold = 24 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 492856.1875
Threshold = 25 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 513862.21875
Threshold = 26 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 534887.875
Threshold = 27 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 555920.375
Threshold = 28 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 576955.375
Threshold = 29 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 597998.3125
Threshold = 30 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 619048.6875
Threshold = 31 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 640103.8125
Threshold = 32 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 661161.125
Threshold = 33 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 682224
Threshold = 34 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 703295.625
Threshold = 35 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 724367.5625
Threshold = 36 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 745445.125
Threshold = 37 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 766534.1875
Threshold = 38 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 787634.3125
Threshold = 39 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 808735.5625
Threshold = 40 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 829841.0625
Threshold = 41 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 850959.9375
Threshold = 42 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 872103.1875
Threshold = 43 | F-measure = 0.2586207 | clusters = 3 | common = 99 | cost = 891055.5625
Threshold = 44 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 914399.625
Threshold = 45 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 933110.6875
Threshold = 46 | F-measure = 0.2586207 | clusters = 2 | common = 99 | cost = 956561.375
Threshold = 47 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 977865
Threshold = 48 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 999026.1875
Threshold = 49 | F-measure = 0.2586207 | clusters = 3 | common = 99 | cost = 1018872.3125
Threshold = 50 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 1037359.875
Threshold = 51 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1062520.875
Threshold = 52 | F-measure = 0.2594068 | clusters = 2 | common = 99 | cost = 1082471.875
Threshold = 53 | F-measure = 0.2583571 | clusters = 4 | common = 98 | cost = 1097672
Threshold = 54 | F-measure = 0.2373026 | clusters = 8 | common = 77 | cost = 1116024.75
Threshold = 55 | F-measure = 0.2594068 | clusters = 4 | common = 99 | cost = 1139777.5
Threshold = 56 | F-measure = 0.2467476 | clusters = 16 | common = 78 | cost = 1144674.875
Threshold = 57 | F-measure = 0.2262822 | clusters = 26 | common = 67 | cost = 1154270.125
Threshold = 58 | F-measure = 0.2159072 | clusters = 145 | common = 43 | cost = 1159721.75
Threshold = 59 | F-measure = 0.1275469 | clusters = 155 | common = 28 | cost = 1150594.625
Threshold = 60 | F-measure = 0.1142885 | clusters = 164 | common = 24 | cost = 1151983.5
Threshold = 61 | F-measure = 0.1615502 | clusters = 153 | common = 31 | cost = 1150374
Threshold = 62 | F-measure = 0.1086075 | clusters = 152 | common = 25 | cost = 1137845.875
Threshold = 63 | F-measure = 0.1525669 | clusters = 133 | common = 30 | cost = 1128942.375
Threshold = 64 | F-measure = 0.1992264 | clusters = 154 | common = 35 | cost = 1127125
Threshold = 65 | F-measure = 0.1688015 | clusters = 148 | common = 30 | cost = 1122855.125
Threshold = 66 | F-measure = 0.1038672 | clusters = 147 | common = 27 | cost = 1116609.125
Threshold = 67 | F-measure = 0.1000225 | clusters = 172 | common = 24 | cost = 1117575.5
Threshold = 68 | F-measure = 0.1135274 | clusters = 160 | common = 25 | cost = 1108336.75
Threshold = 69 | F-measure = 0.1719035 | clusters = 183 | common = 31 | cost = 1106284.375
Threshold = 70 | F-measure = 0.2232224 | clusters = 159 | common = 39 | cost = 1102953.75
Threshold = 71 | F-measure = 0.1217859 | clusters = 151 | common = 25 | cost = 1091892.625
Threshold = 72 | F-measure = 0.166021 | clusters = 165 | common = 32 | cost = 1087073.125
Threshold = 73 | F-measure = 0.1212357 | clusters = 166 | common = 26 | cost = 1086920.5
Threshold = 74 | F-measure = 0.1271029 | clusters = 170 | common = 25 | cost = 1075333.375
Threshold = 75 | F-measure = 0.11198 | clusters = 174 | common = 26 | cost = 1076163.125
Threshold = 76 | F-measure = 0.1249053 | clusters = 168 | common = 26 | cost = 1069534.75
Threshold = 77 | F-measure = 0.122379 | clusters = 170 | common = 24 | cost = 1064099.875
Threshold = 78 | F-measure = 0.1326454 | clusters = 183 | common = 26 | cost = 1058444.125
Threshold = 79 | F-measure = 0.1342098 | clusters = 188 | common = 27 | cost = 1054204.875
Threshold = 80 | F-measure = 0.1522765 | clusters = 175 | common = 29 | cost = 1045566.8125
Threshold = 81 | F-measure = 0.1275064 | clusters = 149 | common = 26 | cost = 1043559.5
Threshold = 82 | F-measure = 0.1591009 | clusters = 162 | common = 30 | cost = 1033570.875
Threshold = 83 | F-measure = 0.1874512 | clusters = 216 | common = 31 | cost = 1033063.5625
Threshold = 84 | F-measure = 0.2084695 | clusters = 190 | common = 35 | cost = 1025863.1875
Threshold = 85 | F-measure = 0.1797131 | clusters = 208 | common = 31 | cost = 1021678.25
Threshold = 86 | F-measure = 0.1284616 | clusters = 171 | common = 27 | cost = 1014619.875
Threshold = 87 | F-measure = 0.177298 | clusters = 183 | common = 32 | cost = 1010350.375
Threshold = 88 | F-measure = 0.1399255 | clusters = 170 | common = 29 | cost = 1003861.0625
Threshold = 89 | F-measure = 0.2014565 | clusters = 174 | common = 35 | cost = 997360.0625
Threshold = 90 | F-measure = 0.1539798 | clusters = 165 | common = 31 | cost = 995096.3125
