Threshold = -1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 0 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 2 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1.04938995838165
Threshold = 3 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3.04938983917236
Threshold = 4 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5.99665975570679
Threshold = 5 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9.31544017791748
Threshold = 6 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 13.3154401779175
Threshold = 7 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 17.3154411315918
Threshold = 8 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 21.8612899780273
Threshold = 9 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 26.8612899780273
Threshold = 10 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 31.8612880706787
Threshold = 11 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 38.2609405517578
Threshold = 12 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 45.2609405517578
Threshold = 13 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 52.2609405517578
Threshold = 14 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 59.6385917663574
Threshold = 15 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 67.859748840332
Threshold = 16 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 76.859748840332
Threshold = 17 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 85.859748840332
Threshold = 18 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 94.859748840332
Threshold = 19 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 103.859748840332
Threshold = 20 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 113.505241394043
Threshold = 21 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 123.76847076416
Threshold = 22 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 134.768478393555
Threshold = 23 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 146.695266723633
Threshold = 24 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 159.695266723633
Threshold = 25 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 173.367340087891
Threshold = 26 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 188.643173217773
Threshold = 27 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 204.643188476562
Threshold = 28 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 224.472915649414
Threshold = 29 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 248.452087402344
Threshold = 30 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 274.44189453125
Threshold = 31 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 302.247314453125
Threshold = 32 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 334.392822265625
Threshold = 33 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 369.645324707031
Threshold = 34 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 407.935028076172
Threshold = 35 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 449.556030273438
Threshold = 36 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 496.108673095703
Threshold = 37 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 547.826721191406
Threshold = 38 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 605.306945800781
Threshold = 39 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 668.285217285156
Threshold = 40 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 737.427673339844
Threshold = 41 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 813.515686035156
Threshold = 42 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 898.271728515625
Threshold = 43 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 993.364990234375
Threshold = 44 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1096.55029296875
Threshold = 45 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1206.50537109375
Threshold = 46 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1331.56652832031
Threshold = 47 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1471.06213378906
Threshold = 48 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1621.12902832031
Threshold = 49 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1784.45825195312
Threshold = 50 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1962.71655273438
Threshold = 51 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2157.69311523438
Threshold = 52 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2367.26391601562
Threshold = 53 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2591.21264648438
Threshold = 54 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2826.1328125
Threshold = 55 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3078.45849609375
Threshold = 56 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3350.8408203125
Threshold = 57 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3642.88623046875
Threshold = 58 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3955.49755859375
Threshold = 59 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4293.5224609375
Threshold = 60 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4655.3515625
Threshold = 61 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5043.763671875
Threshold = 62 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5449.90283203125
Threshold = 63 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5882.02490234375
Threshold = 64 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6345.1376953125
Threshold = 65 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6835.46142578125
Threshold = 66 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7345.939453125
Threshold = 67 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7889.3408203125
Threshold = 68 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 8465.1669921875
Threshold = 69 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9074.95703125
Threshold = 70 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9721.9833984375
Threshold = 71 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 10407.0244140625
Threshold = 72 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 11131.2060546875
Threshold = 73 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 11905.1298828125
