Threshold = -1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 0 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 1 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 0
Threshold = 2 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1
Threshold = 3 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2
Threshold = 4 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3.7957501411438
Threshold = 5 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5.7957501411438
Threshold = 6 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7.79574966430664
Threshold = 7 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9.79574966430664
Threshold = 8 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12.4543895721436
Threshold = 9 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 15.8565301895142
Threshold = 10 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 19.8565292358398
Threshold = 11 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 24.5704307556152
Threshold = 12 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 30.8418273925781
Threshold = 13 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 38.4801597595215
Threshold = 14 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 46.5108795166016
Threshold = 15 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 58.628475189209
Threshold = 16 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 73.6466751098633
Threshold = 17 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 91.5194396972656
Threshold = 18 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 111.227661132812
Threshold = 19 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 133.240829467773
Threshold = 20 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 156.709915161133
Threshold = 21 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 182.7509765625
Threshold = 22 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 211.25569152832
Threshold = 23 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 241.465805053711
Threshold = 24 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 273.571441650391
Threshold = 25 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 306.641235351562
Threshold = 26 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 340.935791015625
Threshold = 27 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 377.204925537109
Threshold = 28 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 416.210906982422
Threshold = 29 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 457.186798095703
Threshold = 30 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 502.750427246094
Threshold = 31 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 552.311279296875
Threshold = 32 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 606.156616210938
Threshold = 33 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 665.868774414062
Threshold = 34 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 734.946044921875
Threshold = 35 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 810.58447265625
Threshold = 36 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 890.300109863281
Threshold = 37 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 974.010559082031
Threshold = 38 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1061.55297851562
Threshold = 39 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1157.84350585938
Threshold = 40 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1261.67517089844
Threshold = 41 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1372.46020507812
Threshold = 42 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1489.20629882812
Threshold = 43 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1616.80200195312
Threshold = 44 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1756.33325195312
Threshold = 45 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 1904.28942871094
Threshold = 46 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2065.08422851562
Threshold = 47 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2236.48168945312
Threshold = 48 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2420.80249023438
Threshold = 49 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2622.50854492188
Threshold = 50 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 2842.87133789062
Threshold = 51 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3077.58471679688
Threshold = 52 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3324.31323242188
Threshold = 53 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3590.80786132812
Threshold = 54 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 3871.83911132812
Threshold = 55 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4170.9423828125
Threshold = 56 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4482.58837890625
Threshold = 57 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 4810.2841796875
Threshold = 58 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5167.10693359375
Threshold = 59 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5550.97900390625
Threshold = 60 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 5969.35205078125
Threshold = 61 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6420.18896484375
Threshold = 62 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 6898.68212890625
Threshold = 63 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7411.4501953125
Threshold = 64 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 7958.884765625
Threshold = 65 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 8538.4033203125
Threshold = 66 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9157.646484375
Threshold = 67 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 9817.583984375
Threshold = 68 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 10521.4091796875
Threshold = 69 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 11266.78515625
Threshold = 70 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12049.8232421875
Threshold = 71 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 12865.2978515625
Threshold = 72 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 13726.15234375
Threshold = 73 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 14644.2138671875
