yearID,round,playerID,teamID,lgID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
1903,WS,colliji01,BOS,AL,8,36,5,9,1,2,0,1,3,0,1,1,0,0,0,0,1
1903,WS,crigelo01,BOS,AL,8,26,1,6,0,0,0,4,0,0,2,3,0,0,1,0,1
1903,WS,dinnebi01,BOS,AL,4,11,1,2,0,0,0,0,0,0,2,2,0,0,1,0,0
1903,WS,doughpa01,BOS,AL,8,34,3,8,0,2,2,5,0,0,2,6,0,1,0,0,0
1903,WS,farredu01,BOS,AL,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1903,WS,ferriho01,BOS,AL,8,31,3,9,0,1,0,5,0,0,0,6,0,1,1,0,0
1903,WS,freembu01,BOS,AL,8,31,6,9,0,3,0,4,0,1,2,2,0,0,0,1,0
1903,WS,hugheto01,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,WS,lachaca01,BOS,AL,8,25,5,6,2,1,0,4,0,0,3,2,0,0,3,2,1
1903,WS,obrieja02,BOS,AL,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1903,WS,parenfr01,BOS,AL,8,31,8,9,0,3,0,4,0,0,1,1,0,1,0,1,0
1903,WS,stahlch01,BOS,AL,8,33,6,10,1,3,0,3,2,1,1,2,0,0,0,0,0
1903,WS,youngcy01,BOS,AL,4,15,1,1,0,1,0,3,0,0,0,3,0,0,0,0,1
1903,WS,beaumgi01,PIT,NL,8,34,6,9,0,1,0,1,2,0,2,4,0,0,0,0,0
1903,WS,branski01,PIT,NL,8,29,3,6,0,2,0,1,1,0,1,6,0,0,1,0,0
1903,WS,clarkfr01,PIT,NL,8,34,3,9,2,1,0,2,1,0,1,5,0,0,0,0,0
1903,WS,kennebr01,PIT,NL,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1903,WS,leachto01,PIT,NL,8,33,3,9,0,4,0,7,1,1,1,4,0,0,0,0,1
1903,WS,leevesa01,PIT,NL,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,WS,phelped01,PIT,NL,8,26,1,6,2,0,0,1,0,0,1,6,0,0,1,0,0
1903,WS,phillde01,PIT,NL,5,18,1,4,0,0,0,1,0,0,0,3,0,0,0,0,0
1903,WS,ritchcl01,PIT,NL,8,27,2,4,1,0,0,2,1,0,4,7,0,0,0,0,0
1903,WS,sebriji01,PIT,NL,8,30,3,10,0,1,1,4,0,1,1,4,0,0,0,0,0
1903,WS,smithha03,PIT,NL,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,WS,thompgu01,PIT,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,WS,veilbu01,PIT,NL,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1903,WS,wagneho01,PIT,NL,8,27,2,6,1,0,0,3,3,1,3,4,0,1,1,0,0
1905,WS,bendech01,PHA,AL,2,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1905,WS,coaklan01,PHA,AL,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1905,WS,crossla01,PHA,AL,5,19,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
